# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.34
2                       4.69
4                       9.30
8                      18.89
16                     37.42
32                     73.27
64                    139.49
128                   275.85
256                   552.08
512                   938.78
1024                 1751.23
2048                 3242.24
4096                 2744.13
8192                 4443.98
16384                6885.48
32768                9071.52
65536               10207.23
131072              10486.65
262144              10706.45
524288              10861.32
1048576             10920.84
2097152             10869.57
4194304             10824.22
