# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.81
2                       0.82
4                       0.74
8                       0.71
16                      0.72
32                      0.71
64                      0.70
128                     0.80
256                     0.80
512                     0.96
1024                    1.04
2048                    1.17
4096                    2.15
8192                    2.93
16384                   4.36
32768                   6.45
65536                   9.50
131072                 15.77
262144                 27.71
524288                 53.21
1048576               112.60
2097152               229.11
4194304               455.56
