# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       1.91        1906497.50
2                       3.82        1909797.06
4                       7.60        1900349.36
8                      15.16        1894724.60
16                     30.20        1887362.45
32                     59.91        1872281.06
64                    118.20        1846854.66
128                   221.51        1730533.87
256                   448.01        1750043.53
512                   902.22        1762139.52
1024                 1667.38        1628302.46
2048                 2915.67        1423664.71
4096                 2614.24         638241.38
8192                 4234.97         516964.53
16384                6803.69         415264.47
32768                8941.67         272878.07
65536                9988.24         152408.43
131072              10367.34          79096.49
262144              10603.36          40448.61
524288              10742.73          20490.14
1048576             10834.11          10332.21
2097152             10802.84           5151.19
4194304             10790.02           2572.54
