# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.68
2                       0.65
4                       0.66
8                       0.66
16                      0.65
32                      0.64
64                      0.66
128                     0.71
256                     0.70
512                     0.77
1024                    0.85
2048                    1.00
4096                    2.05
8192                    2.78
16384                   4.21
32768                   6.56
65536                   9.42
131072                 15.17
262144                 27.09
524288                 52.19
1048576               109.65
2097152               224.71
4194304               448.50
