# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.73
2                       0.62
4                       0.62
8                       0.63
16                      0.62
32                      0.62
64                      0.62
128                     0.68
256                     0.68
512                     0.81
1024                    0.89
2048                    1.05
4096                    2.00
8192                    2.87
16384                   4.26
32768                   6.55
65536                   9.37
131072                 15.36
262144                 27.15
524288                 52.74
1048576               109.17
2097152               225.34
4194304               455.30
