# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.67
2                       0.64
4                       0.64
8                       0.65
16                      0.65
32                      0.64
64                      0.64
128                     0.67
256                     0.70
512                     0.83
1024                    0.85
2048                    1.02
4096                    2.07
8192                    2.83
16384                   4.30
32768                   6.55
65536                   9.53
131072                 15.28
262144                 27.21
524288                 52.33
1048576               109.57
2097152               226.75
4194304               458.69
