# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.29
2                       4.60
4                       9.12
8                      18.22
16                     36.18
32                     71.34
64                    137.73
128                   273.29
256                   546.49
512                   929.32
1024                 1740.23
2048                 3191.05
4096                 2670.33
8192                 4411.87
16384                6870.62
32768                9051.32
65536               10203.88
131072              10486.50
262144              10656.12
524288              10825.90
1048576             10879.10
2097152             10837.93
4194304             10823.28
