# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.65
2                       0.66
4                       0.65
8                       0.65
16                      0.68
32                      0.65
64                      0.66
128                     0.72
256                     0.72
512                     0.81
1024                    0.86
2048                    1.01
4096                    2.03
8192                    2.77
16384                   4.25
32768                   6.48
65536                   9.40
131072                 15.09
262144                 26.89
524288                 51.20
1048576               110.29
2097152               226.47
4194304               448.91
