# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.74
2                       5.60
4                      11.27
8                      22.58
16                     45.10
32                     89.99
64                    180.48
128                   335.82
256                   619.80
512                  1027.04
1024                 1870.36
2048                 3302.44
4096                 2938.14
8192                 4633.59
16384                7316.28
32768                9381.45
65536               10611.37
131072              10732.14
262144              10877.84
524288              10966.11
1048576             10996.96
2097152             11031.17
4194304             11041.84
