# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.67
2                       0.74
4                       0.66
8                       0.68
16                      0.65
32                      0.68
64                      0.66
128                     0.80
256                     0.72
512                     0.91
1024                    1.04
2048                    1.14
4096                    2.04
8192                    2.87
16384                   4.29
32768                   6.41
65536                   9.46
131072                 15.86
262144                 27.65
524288                 52.83
1048576               109.78
2097152               225.49
4194304               451.57
