# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.01        2008621.06
2                       4.05        2023376.19
4                       8.08        2019004.45
8                      16.11        2013334.69
16                     32.11        2007022.57
32                     65.04        2032447.97
64                    126.88        1982503.23
128                   242.22        1892334.11
256                   493.02        1925872.74
512                   920.59        1798031.96
1024                 1720.58        1680251.46
2048                 3096.80        1512110.29
4096                 2691.33         657062.84
8192                 4470.44         545708.42
16384                6800.03         415040.78
32768                9123.37         278423.15
65536               10278.75         156841.26
131072              10564.74          80602.57
262144              10785.53          41143.54
524288              10908.36          20806.04
1048576             10985.66          10476.74
2097152             10931.05           5212.33
4194304             10893.56           2597.23
