# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       1.92        1916175.98
2                       3.85        1924828.53
4                       7.71        1926432.32
8                      15.44        1930600.46
16                     30.70        1918516.47
32                     60.87        1902222.49
64                    119.46        1866534.77
128                   226.94        1772932.89
256                   453.86        1772871.90
512                   904.14        1765905.69
1024                 1698.12        1658319.19
2048                 3052.02        1490241.72
4096                 2672.91         652565.61
8192                 4354.44         531548.14
16384                6782.35         413961.51
32768                9052.78         276268.79
65536               10241.07         156266.32
131072              10472.61          79899.67
262144              10687.22          40768.51
524288              10811.77          20621.81
1048576             10887.00          10382.65
2097152             10818.45           5158.64
4194304             10808.46           2576.94
