# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.58        2575094.17
2                       5.18        2589137.32
4                      10.51        2628661.48
8                      20.95        2618669.62
16                     41.55        2596862.88
32                     83.61        2612664.74
64                    169.02        2640890.91
128                   315.04        2461270.37
256                   573.31        2239489.31
512                   997.22        1947704.62
1024                 1835.81        1792788.05
2048                 3401.40        1660838.77
4096                 2945.74         719174.01
8192                 4750.60         579906.99
16384                7384.49         450713.74
32768                9418.06         287416.46
65536               10682.47         163001.53
131072              10781.57          82256.86
262144              10941.51          41738.56
524288              11026.89          21032.12
1048576             11061.50          10549.07
2097152             11095.11           5290.56
4194304             11094.88           2645.23
