# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.69
2                       0.68
4                       0.69
8                       0.68
16                      0.67
32                      0.68
64                      0.66
128                     0.74
256                     0.74
512                     0.93
1024                    1.02
2048                    1.14
4096                    2.05
8192                    2.83
16384                   4.27
32768                   6.46
65536                   9.46
131072                 15.44
262144                 27.10
524288                 52.01
1048576               111.43
2097152               226.78
4194304               455.00
