# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.52        2524169.71
2                       5.05        2523714.44
4                      10.15        2538164.48
8                      20.30        2537864.04
16                     40.29        2518299.88
32                     80.26        2508017.13
64                    162.82        2543988.14
128                   300.43        2347130.39
256                   566.64        2213456.86
512                  1005.60        1964061.36
1024                 1853.46        1810022.58
2048                 3303.27        1612924.48
4096                 2949.02         719974.78
8192                 4752.56         580146.57
16384                7211.66         440164.70
32768                9325.05         284577.88
65536               10568.95         161269.31
131072              10662.66          81349.64
262144              10816.20          41260.51
524288              10903.21          20796.21
1048576             10937.92          10431.22
2097152             10973.64           5232.64
4194304             10972.95           2616.16
