# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.32
2                       4.80
4                       9.55
8                      19.00
16                     37.73
32                     74.24
64                    141.84
128                   280.43
256                   559.90
512                   963.49
1024                 1797.25
2048                 3331.15
4096                 2795.43
8192                 4509.90
16384                6926.93
32768                9101.48
65536               10215.87
131072              10546.54
262144              10759.58
524288              10919.01
1048576             10955.59
2097152             10903.07
4194304             10869.91
