# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.64
2                       0.62
4                       0.63
8                       0.63
16                      0.63
32                      0.63
64                      0.63
128                     0.69
256                     0.72
512                     0.83
1024                    0.88
2048                    1.01
4096                    1.95
8192                    2.76
16384                   4.27
32768                   6.55
65536                   9.58
131072                 15.22
262144                 27.42
524288                 52.21
1048576               108.92
2097152               225.74
4194304               450.36
