# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.29
2                       4.66
4                       9.14
8                      18.58
16                     36.85
32                     72.51
64                    135.36
128                   272.40
256                   547.09
512                   918.93
1024                 1725.95
2048                 3195.14
4096                 2697.66
8192                 4388.69
16384                6798.92
32768                8972.60
65536               10158.77
131072              10465.28
262144              10671.92
524288              10817.23
1048576             10870.68
2097152             10820.80
4194304             10782.93
