# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.58        2581363.68
2                       5.28        2640992.04
4                      10.50        2625138.94
8                      20.83        2603387.64
16                     41.78        2611517.51
32                     83.37        2605444.58
64                    167.85        2622649.86
128                   309.58        2418598.66
256                   580.69        2268317.59
512                  1019.41        1991027.81
1024                 1849.79        1806439.19
2048                 3259.32        1591466.99
4096                 2823.52         689334.91
8192                 4696.65         573322.11
16384                7339.18         447948.12
32768                9359.11         285617.36
65536               10583.23         161487.29
131072              10681.79          81495.60
262144              10812.75          41247.38
524288              10886.82          20764.96
1048576             10922.00          10416.03
2097152             10950.59           5221.65
4194304             10967.64           2614.89
