# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.66
2                       0.65
4                       0.62
8                       0.64
16                      0.62
32                      0.65
64                      0.62
128                     0.68
256                     0.74
512                     0.92
1024                    1.03
2048                    1.14
4096                    2.02
8192                    2.83
16384                   4.21
32768                   6.40
65536                   9.35
131072                 15.49
262144                 27.70
524288                 52.07
1048576               112.59
2097152               226.49
4194304               455.98
