# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.71
2                       0.71
4                       0.72
8                       0.71
16                      0.71
32                      0.71
64                      0.70
128                     0.75
256                     0.80
512                     0.98
1024                    1.03
2048                    1.17
4096                    2.12
8192                    2.96
16384                   4.41
32768                   6.54
65536                   9.59
131072                 15.84
262144                 27.99
524288                 53.48
1048576               111.23
2097152               227.48
4194304               456.07
