# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.63
2                       0.61
4                       0.61
8                       0.61
16                      0.61
32                      0.61
64                      0.61
128                     0.65
256                     0.69
512                     0.83
1024                    0.87
2048                    1.05
4096                    2.00
8192                    2.77
16384                   4.24
32768                   6.55
65536                   9.42
131072                 15.28
262144                 27.03
524288                 52.08
1048576               109.73
2097152               226.69
4194304               458.06
