# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.72
2                       5.53
4                      11.13
8                      22.22
16                     44.44
32                     88.78
64                    177.66
128                   330.78
256                   608.30
512                   985.94
1024                 1826.49
2048                 3346.95
4096                 2884.56
8192                 4700.43
16384                7261.60
32768                9332.17
65536               10574.00
131072              10697.77
262144              10845.47
524288              10921.84
1048576             10962.69
2097152             10996.96
4194304             10998.99
