# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.73
2                       0.74
4                       0.73
8                       0.61
16                      0.65
32                      0.63
64                      0.61
128                     0.71
256                     0.73
512                     0.84
1024                    0.89
2048                    1.02
4096                    1.92
8192                    2.76
16384                   4.25
32768                   6.43
65536                   9.33
131072                 15.05
262144                 26.79
524288                 51.62
1048576               109.16
2097152               224.59
4194304               454.69
