# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.78
2                       5.61
4                      11.26
8                      22.60
16                     45.02
32                     90.43
64                    180.71
128                   336.68
256                   611.78
512                  1001.54
1024                 1817.55
2048                 3138.77
4096                 2881.35
8192                 4818.43
16384                7289.98
32768                9414.16
65536               10679.18
131072              10793.85
262144              10953.48
524288              11021.55
1048576             11042.17
2097152             11075.96
4194304             11071.57
