# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.72
2                       0.65
4                       0.66
8                       0.66
16                      0.66
32                      0.65
64                      0.65
128                     0.71
256                     0.74
512                     0.84
1024                    0.87
2048                    1.02
4096                    2.00
8192                    2.85
16384                   4.33
32768                   6.67
65536                   9.41
131072                 15.14
262144                 27.03
524288                 51.82
1048576               109.37
2097152               225.56
4194304               449.52
