# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.76
2                       0.74
4                       0.72
8                       0.74
16                      0.73
32                      0.74
64                      0.71
128                     0.77
256                     0.78
512                     1.00
1024                    1.09
2048                    1.19
4096                    2.14
8192                    3.00
16384                   4.42
32768                   6.56
65536                   9.54
131072                 15.88
262144                 28.07
524288                 54.12
1048576               112.09
2097152               228.31
4194304               456.77
