# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.67
2                       0.63
4                       0.64
8                       0.64
16                      0.63
32                      0.65
64                      0.64
128                     0.72
256                     0.73
512                     0.80
1024                    0.82
2048                    0.96
4096                    1.90
8192                    2.76
16384                   4.20
32768                   6.43
65536                   9.27
131072                 15.05
262144                 27.16
524288                 52.80
1048576               109.26
2097152               224.41
4194304               448.97
