# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.68
2                       0.66
4                       0.67
8                       0.67
16                      0.67
32                      0.65
64                      0.68
128                     0.69
256                     0.70
512                     0.78
1024                    0.87
2048                    1.01
4096                    2.01
8192                    2.80
16384                   4.24
32768                   6.48
65536                   9.40
131072                 15.40
262144                 27.17
524288                 51.96
1048576               110.25
2097152               225.21
4194304               450.67
