# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.32
2                       4.65
4                       9.25
8                      18.48
16                     36.67
32                     71.73
64                    136.55
128                   271.06
256                   542.10
512                   923.30
1024                 1720.96
2048                 3102.90
4096                 2623.91
8192                 4340.56
16384                6759.22
32768                9019.57
65536               10200.35
131072              10483.77
262144              10683.15
524288              10832.82
1048576             10883.01
2097152             10830.36
4194304             10796.80
