# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.53        2528674.78
2                       5.17        2583177.40
4                      10.37        2593368.67
8                      20.63        2578651.07
16                     41.09        2568400.42
32                     82.35        2573305.12
64                    166.01        2593904.51
128                   309.44        2417525.37
256                   570.36        2227964.72
512                  1001.64        1956326.66
1024                 1833.19        1790220.46
2048                 3322.62        1622374.57
4096                 2904.88         709199.09
8192                 4686.18         572043.96
16384                7159.68         436992.00
32768                9332.92         284818.18
65536               10600.08         161744.37
131072              10695.83          81602.74
262144              10779.51          41120.58
524288              10860.06          20713.92
1048576             10927.24          10421.03
2097152             10965.76           5228.88
4194304             10967.57           2614.87
