# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.24
2                       4.52
4                       8.91
8                      17.92
16                     35.38
32                     69.38
64                    135.16
128                   266.99
256                   535.42
512                   954.01
1024                 1784.70
2048                 3264.52
4096                 2715.65
8192                 4401.10
16384                6766.33
32768                9001.70
65536               10220.15
131072              10521.49
262144              10706.69
524288              10848.85
1048576             10873.53
2097152             10861.67
4194304             10839.60
