# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.30
2                       4.62
4                       9.15
8                      18.33
16                     36.20
32                     70.95
64                    135.07
128                   268.20
256                   536.88
512                   953.15
1024                 1786.06
2048                 3321.99
4096                 2795.12
8192                 4448.84
16384                6863.34
32768                9089.90
65536               10142.78
131072              10481.27
262144              10698.80
524288              10861.08
1048576             10917.84
2097152             10877.95
4194304             10827.19
