# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.75
2                       5.53
4                      11.07
8                      21.96
16                     43.87
32                     88.42
64                    175.79
128                   328.26
256                   593.42
512                   990.99
1024                 1781.64
2048                 3073.84
4096                 2768.93
8192                 4530.14
16384                7254.98
32768                9395.42
65536               10620.04
131072              10749.76
262144              10919.77
524288              11000.65
1048576             11033.70
2097152             11063.22
4194304             11061.02
