# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.66
2                       0.63
4                       0.60
8                       0.62
16                      0.61
32                      0.63
64                      0.60
128                     0.64
256                     0.79
512                     0.85
1024                    0.87
2048                    1.01
4096                    1.87
8192                    2.82
16384                   4.23
32768                   6.49
65536                   9.37
131072                 15.09
262144                 27.01
524288                 51.72
1048576               109.45
2097152               225.01
4194304               449.40
