# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.73
2                       5.49
4                      10.98
8                      22.36
16                     44.77
32                     89.44
64                    177.61
128                   329.58
256                   599.10
512                  1007.66
1024                 1847.81
2048                 3307.39
4096                 2976.38
8192                 4668.40
16384                7289.58
32768                9340.48
65536               10621.98
131072              10717.08
262144              10881.16
524288              10969.51
1048576             10999.53
2097152             11033.89
4194304             11032.26
