# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       1.95        1954275.03
2                       3.91        1957057.63
4                       7.82        1955457.85
8                      15.56        1945017.99
16                     31.05        1940421.42
32                     62.53        1954116.97
64                    122.87        1919767.23
128                   238.61        1864179.60
256                   466.70        1823065.98
512                   917.60        1792185.00
1024                 1710.79        1670693.69
2048                 3174.18        1549893.08
4096                 2685.61         655667.48
8192                 4363.31         532630.34
16384                6650.04         405886.32
32768                8942.07         272890.45
65536               10169.17         155169.23
131072              10415.00          79460.13
262144              10658.09          40657.37
524288              10801.79          20602.79
1048576             10890.16          10385.67
2097152             10821.36           5160.03
4194304             10802.83           2575.60
