# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.74
2                       5.55
4                      11.25
8                      22.44
16                     44.80
32                     89.83
64                    177.95
128                   331.92
256                   613.29
512                  1034.09
1024                 1904.97
2048                 3441.13
4096                 2888.29
8192                 4614.01
16384                7396.06
32768                9356.87
65536               10609.77
131072              10726.32
262144              10887.96
524288              10976.03
1048576             11007.73
2097152             11004.93
4194304             11005.97
