# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.59        2592780.21
2                       5.24        2618969.02
4                      10.48        2618951.44
8                      20.74        2591983.31
16                     41.52        2594896.58
32                     84.11        2628512.28
64                    167.00        2609407.57
128                   309.15        2415232.33
256                   569.41        2224269.17
512                  1017.35        1987019.18
1024                 1873.02        1829125.50
2048                 3380.20        1650486.65
4096                 2918.34         712485.81
8192                 4687.03         572147.32
16384                7306.73         445967.23
32768                9389.51         286545.12
65536               10659.04         162643.99
131072              10776.00          82214.33
262144              10908.62          41613.10
524288              10966.49          20916.92
1048576             10984.09          10475.24
2097152             11022.31           5255.85
4194304             11024.51           2628.45
