# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.62
2                       0.65
4                       0.62
8                       0.65
16                      0.63
32                      0.65
64                      0.63
128                     0.70
256                     0.70
512                     0.79
1024                    0.84
2048                    1.00
4096                    2.00
8192                    2.82
16384                   4.28
32768                   6.64
65536                   9.49
131072                 15.43
262144                 27.24
524288                 52.11
1048576               110.16
2097152               226.73
4194304               451.37
