# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.80
2                       0.72
4                       0.66
8                       0.66
16                      0.67
32                      0.66
64                      0.66
128                     0.71
256                     0.74
512                     0.92
1024                    1.02
2048                    1.15
4096                    2.14
8192                    2.97
16384                   4.49
32768                   6.83
65536                   9.92
131072                 15.60
262144                 27.44
524288                 52.66
1048576               111.08
2097152               224.91
4194304               450.47
