# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.73
2                       5.51
4                      11.11
8                      22.19
16                     44.27
32                     88.95
64                    177.83
128                   331.86
256                   604.95
512                   987.90
1024                 1847.51
2048                 3061.69
4096                 2744.65
8192                 4368.64
16384                7320.00
32768                9338.15
65536               10616.22
131072              10734.26
262144              10898.01
524288              10995.63
1048576             11023.33
2097152             11051.70
4194304             11045.39
