# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.77
2                       5.60
4                      11.28
8                      22.42
16                     45.01
32                     89.72
64                    177.98
128                   337.68
256                   606.22
512                   998.34
1024                 1833.74
2048                 3221.48
4096                 2872.63
8192                 4611.97
16384                7280.29
32768                9398.69
65536               10683.01
131072              10784.42
262144              10936.34
524288              11009.78
1048576             11032.43
2097152             11066.73
4194304             11068.66
