# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.31
2                       4.67
4                       9.29
8                      18.53
16                     36.76
32                     71.85
64                    137.42
128                   270.73
256                   541.90
512                   935.74
1024                 1750.55
2048                 3282.91
4096                 2732.34
8192                 4435.80
16384                6790.69
32768                9021.42
65536               10248.87
131072              10513.97
262144              10721.63
524288              10880.70
1048576             10920.26
2097152             10859.23
4194304             10882.08
