# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.63
2                       5.54
4                      11.20
8                      22.31
16                     44.91
32                     90.15
64                    177.82
128                   336.54
256                   608.87
512                  1036.88
1024                 1888.70
2048                 3390.99
4096                 2907.78
8192                 4793.81
16384                7358.99
32768                9423.00
65536               10663.09
131072              10771.47
262144              10913.69
524288              10983.14
1048576             10977.20
2097152             11005.84
4194304             11019.33
