# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.67
2                       0.64
4                       0.65
8                       0.64
16                      0.65
32                      0.65
64                      0.65
128                     0.69
256                     0.73
512                     0.92
1024                    1.01
2048                    1.14
4096                    2.06
8192                    2.93
16384                   4.34
32768                   6.43
65536                   9.41
131072                 15.49
262144                 27.27
524288                 51.51
1048576               112.59
2097152               225.32
4194304               452.44
