# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       1.93        1933100.58
2                       3.94        1968253.55
4                       7.85        1963636.58
8                      15.68        1960199.14
16                     31.10        1943496.84
32                     62.05        1939026.52
64                    121.66        1900983.25
128                   230.52        1800948.94
256                   461.26        1801807.58
512                   905.62        1768794.32
1024                 1713.59        1673422.89
2048                 3171.63        1548649.42
4096                 2698.41         658791.47
8192                 4352.61         531324.27
16384                6833.53         417085.72
32768                9057.08         276400.26
65536               10229.88         156095.62
131072              10433.42          79600.67
262144              10696.65          40804.47
524288              10831.22          20658.91
1048576             10917.74          10411.97
2097152             10842.89           5170.29
4194304             10805.36           2576.20
