# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.75
2                       5.56
4                      11.13
8                      22.26
16                     44.61
32                     88.79
64                    177.78
128                   330.13
256                   610.03
512                  1010.73
1024                 1900.47
2048                 3351.20
4096                 2831.21
8192                 4714.87
16384                7271.88
32768                9357.07
65536               10577.88
131072              10721.25
262144              10882.18
524288              10967.81
1048576             11017.06
2097152             11058.41
4194304             11059.87
