# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.60
2                       0.60
4                       0.60
8                       0.60
16                      0.61
32                      0.60
64                      0.60
128                     0.67
256                     0.75
512                     0.80
1024                    0.92
2048                    1.01
4096                    1.92
8192                    2.73
16384                   4.21
32768                   6.57
65536                   9.45
131072                 15.14
262144                 27.25
524288                 51.85
1048576               108.94
2097152               226.64
4194304               450.83
