# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.49        2489615.58
2                       5.16        2581264.04
4                      10.36        2589617.98
8                      20.66        2582422.45
16                     40.94        2558796.44
32                     82.32        2572343.86
64                    166.06        2594687.02
128                   308.70        2411698.94
256                   567.98        2218657.35
512                   961.93        1878768.42
1024                 1740.01        1699228.35
2048                 3055.64        1492012.67
4096                 2894.62         706694.40
8192                 4641.30         566564.65
16384                7010.99         427917.14
32768                8809.75         268852.34
65536               10490.66         160074.83
131072              10719.87          81786.12
262144              10875.45          41486.56
524288              10959.48          20903.55
1048576             10999.43          10489.88
2097152             11032.81           5260.85
4194304             11030.09           2629.78
