# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.70
2                       0.64
4                       0.64
8                       0.64
16                      0.64
32                      0.64
64                      0.64
128                     0.67
256                     0.68
512                     0.80
1024                    0.92
2048                    1.05
4096                    2.04
8192                    2.93
16384                   4.37
32768                   6.62
65536                   9.67
131072                 15.27
262144                 27.42
524288                 52.10
1048576               110.31
2097152               226.72
4194304               454.06
