# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.36
2                       4.70
4                       9.32
8                      18.66
16                     37.06
32                     73.35
64                    139.53
128                   275.69
256                   552.32
512                   936.48
1024                 1749.13
2048                 3225.30
4096                 2692.23
8192                 4447.63
16384                6895.12
32768                9094.86
65536               10209.88
131072              10526.34
262144              10691.48
524288              10816.37
1048576             10874.70
2097152             10862.08
4194304             10839.01
