# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.67
2                       0.67
4                       0.66
8                       0.67
16                      0.66
32                      0.68
64                      0.65
128                     0.70
256                     0.72
512                     0.92
1024                    0.97
2048                    1.16
4096                    2.06
8192                    2.83
16384                   4.28
32768                   6.49
65536                   9.55
131072                 15.61
262144                 27.34
524288                 51.76
1048576               112.67
2097152               225.92
4194304               456.15
