# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.80
2                       5.63
4                      11.46
8                      22.83
16                     45.31
32                     91.20
64                    181.03
128                   340.02
256                   612.11
512                  1035.95
1024                 1890.95
2048                 3368.76
4096                 2942.36
8192                 4800.43
16384                7357.46
32768                9404.29
65536               10665.26
131072              10765.00
262144              10895.48
524288              10957.69
1048576             10991.51
2097152             11015.82
4194304             11013.82
