# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.79
2                       5.61
4                      11.28
8                      22.52
16                     44.92
32                     90.05
64                    179.50
128                   335.96
256                   608.34
512                  1036.98
1024                 1900.55
2048                 3493.97
4096                 2954.63
8192                 4803.12
16384                7403.01
32768                9431.15
65536               10672.70
131072              10751.14
262144              10925.90
524288              11024.42
1048576             11066.99
2097152             11107.81
4194304             11110.58
