# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.68
2                       0.70
4                       0.69
8                       0.67
16                      0.69
32                      0.67
64                      0.69
128                     0.80
256                     0.73
512                     0.93
1024                    1.01
2048                    1.15
4096                    2.07
8192                    2.91
16384                   4.33
32768                   6.56
65536                   9.59
131072                 15.49
262144                 27.53
524288                 52.82
1048576               110.71
2097152               226.70
4194304               455.01
