# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.61
2                       0.61
4                       0.62
8                       0.61
16                      0.64
32                      0.63
64                      0.62
128                     0.67
256                     0.72
512                     0.81
1024                    0.85
2048                    1.00
4096                    1.94
8192                    2.77
16384                   4.18
32768                   6.45
65536                   9.38
131072                 15.37
262144                 27.17
524288                 51.60
1048576               109.76
2097152               226.39
4194304               453.57
