# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.27
2                       4.58
4                       9.08
8                      18.15
16                     35.97
32                     70.48
64                    134.93
128                   264.34
256                   530.63
512                   926.20
1024                 1693.55
2048                 2906.69
4096                 2436.02
8192                 3953.70
16384                6703.91
32768                8894.36
65536               10041.52
131072              10390.10
262144              10601.20
524288              10756.82
1048576             10817.60
2097152             10794.21
4194304             10784.12
