# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.28
2                       4.58
4                       9.09
8                      18.18
16                     36.11
32                     70.93
64                    135.69
128                   267.83
256                   536.59
512                   933.69
1024                 1745.73
2048                 3216.94
4096                 2696.48
8192                 4416.90
16384                6873.49
32768                9052.17
65536               10197.00
131072              10490.19
262144              10680.30
524288              10816.77
1048576             10852.57
2097152             10798.34
4194304             10771.78
