# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.57        2565635.88
2                       5.28        2639590.52
4                      10.59        2646654.87
8                      21.19        2648822.65
16                     42.08        2629826.95
32                     84.77        2649137.22
64                    169.49        2648348.70
128                   315.32        2463424.12
256                   585.34        2286499.70
512                  1006.03        1964904.41
1024                 1858.21        1814662.51
2048                 3272.50        1597898.56
4096                 2936.87         717010.38
8192                 4767.57         581978.71
16384                7378.77         450364.58
32768                9426.48         287673.43
65536               10683.80         163021.80
131072              10794.72          82357.21
262144              10952.49          41780.42
524288              11032.94          21043.66
1048576             11064.89          10552.30
2097152             11101.44           5293.58
4194304             11113.07           2649.56
