# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.58
2                       5.52
4                      11.13
8                      22.26
16                     44.53
32                     89.20
64                    177.36
128                   331.24
256                   613.95
512                  1020.02
1024                 1853.82
2048                 3304.81
4096                 2783.66
8192                 4750.71
16384                7335.24
32768                9354.53
65536               10625.76
131072              10733.45
262144              10896.25
524288              10996.77
1048576             11042.87
2097152             11087.36
4194304             11086.27
