# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.74
2                       0.69
4                       0.66
8                       0.67
16                      0.68
32                      0.70
64                      0.68
128                     0.72
256                     0.82
512                     0.96
1024                    1.05
2048                    1.17
4096                    2.08
8192                    2.88
16384                   4.26
32768                   6.39
65536                   9.38
131072                 15.51
262144                 27.39
524288                 52.06
1048576               112.51
2097152               226.82
4194304               454.48
