# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.61
2                       0.62
4                       0.61
8                       0.61
16                      0.62
32                      0.62
64                      0.61
128                     0.66
256                     0.69
512                     0.79
1024                    0.86
2048                    0.99
4096                    2.02
8192                    2.85
16384                   4.30
32768                   6.65
65536                   9.39
131072                 15.14
262144                 27.11
524288                 52.06
1048576               110.01
2097152               225.47
4194304               450.59
