# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.76
2                       0.72
4                       0.72
8                       0.72
16                      0.72
32                      0.70
64                      0.70
128                     0.80
256                     0.77
512                     0.94
1024                    1.04
2048                    1.16
4096                    2.12
8192                    3.01
16384                   4.46
32768                   6.63
65536                   9.61
131072                 15.56
262144                 27.99
524288                 52.63
1048576               110.99
2097152               227.34
4194304               456.18
